timestamp,original_artist,original_title,remix_info,platform,found_artist,found_title,url,price
,Oops,Dj Simlocked,,Bandcamp,"from Bounce Operators Vol. 1
                                                    DJ Simlocked",Oops Edit,https://habibibass.bandcamp.com/track/oops-edit?from=search&search_item_id=1128688195&search_item_type=t&search_match_part=%3F&search_page_id=4546182606&search_page_no=1&search_rank=1&search_sig=b86dd43e774774c760064d6dcd3323f3,
,Electro Funq,Luz1e,,Bandcamp,"from Bounce Operators Vol. 1
                                                    Luz1e",Electro Funq,https://habibibass.bandcamp.com/track/electro-funq?from=search&search_item_id=1847634312&search_item_type=t&search_match_part=%3F&search_page_id=4546183007&search_page_no=1&search_rank=1&search_sig=e56cb85b736cd41c92415e4b96fc7c1c,
,And The Nautical Booty Illusion,DJ SUPREX,,Bandcamp,"from And The Quest For The Beyond [HOA008]
                                                    DJ SUPLEX",And The Nautical Booty Illusion,https://momaready.bandcamp.com/track/and-the-nautical-booty-illusion?from=search&search_item_id=3188977916&search_item_type=t&search_match_part=%3F&search_page_id=4546183434&search_page_no=1&search_rank=1&search_sig=87c790b60cb36b997bcfc987ead7500d,
,Liquid 808,MoMa Ready,,Bandcamp,"from Singles
                                                    MoMA Ready",Liquid 808,https://momaready.bandcamp.com/track/liquid-808?from=search&search_item_id=2347699292&search_item_type=t&search_match_part=%3F&search_page_id=4546183863&search_page_no=1&search_rank=1&search_sig=d25b95ab856896ddfdd065f0f877ee85,
,Liquid 808,MoMa Ready,,Bandcamp,"from New York Dance Music II
                                                    MoMA Ready",Liquid 808,https://towheadrecordings.bandcamp.com/track/liquid-808?from=search&search_item_id=3240181976&search_item_type=t&search_match_part=%3F&search_page_id=4546183863&search_page_no=1&search_rank=2&search_sig=5e7ee7a96cf07a83435f6153ff1a556a,
,Shameless,BASSBEAR!!,,Bandcamp,"from New York Dance Music II
                                                    BASSBEAR!!",Shameless,https://towheadrecordings.bandcamp.com/track/shameless?from=search&search_item_id=4083302190&search_item_type=t&search_match_part=%3F&search_page_id=4546184295&search_page_no=1&search_rank=1&search_sig=74e254201736447259b08f4e4ece7771,
,White Matter,Negroni Nails,,Bandcamp,"from Negroni Nails - Negroni Nails EP
                                                    Steffi",A1. Negroni Nails - White Matter,https://steffiedoms.bandcamp.com/track/a1-negroni-nails-white-matter?from=search&search_item_id=691836337&search_item_type=t&search_match_part=%3F&search_page_id=4546184710&search_page_no=1&search_rank=1&search_sig=162a91bae0f6a091e02b18f3ad50b650,
,Feel,DJ Bone,,Bandcamp,DJ Bone,Choice (We Can Feel),https://djbone313.bandcamp.com/album/choice-we-can-feel?from=search&search_item_id=1460660763&search_item_type=a&search_match_part=%3F&search_page_id=4546185098&search_page_no=1&search_rank=1&search_sig=59b6c639f184400427c674098700207a,
,Feel,DJ Bone,,Bandcamp,"from Choice (We Can Feel)
                                                    DJ Bone",Activist,https://djbone313.bandcamp.com/track/activist?from=search&search_item_id=3548209159&search_item_type=t&search_match_part=%3F&search_page_id=4546185098&search_page_no=1&search_rank=2&search_sig=ff24a071f76dbdf2c852f955e6c1a3fe,
,Feel,DJ Bone,,Bandcamp,"from Choice (We Can Feel)
                                                    DJ Bone",Choice (We Can Feel),https://djbone313.bandcamp.com/track/choice-we-can-feel?from=search&search_item_id=582455738&search_item_type=t&search_match_part=%3F&search_page_id=4546185098&search_page_no=1&search_rank=3&search_sig=3a7b52f76c0b6ccc868cc4c3285536fb,
,My Drums (Rink Rey Remix),Stephen Brown,,No results found,,,,
,Real Freaks,DJ John Brooklyn,,Bandcamp,"from New York Dance Music
                                                    DJ John Brooklyn",Real Freaks,https://towheadrecordings.bandcamp.com/track/real-freaks?from=search&search_item_id=754883701&search_item_type=t&search_match_part=%3F&search_page_id=4546185690&search_page_no=1&search_rank=1&search_sig=db2bc5a22bffe288424f761a8d635ba0,
,Ambush,Dj Plead,,Bandcamp,"from NH V/A VOL. 3
                                                    Various Artists",Dj Plead - Ambush,https://nervoushorizon.bandcamp.com/track/dj-plead-ambush?from=search&search_item_id=923444182&search_item_type=t&search_match_part=%3F&search_page_id=4546185975&search_page_no=1&search_rank=1&search_sig=e2f68491a8ec4e9d8c49b636542bf7ad,
,Ahadadream,Shinichiro Yokota,,Bandcamp,Ahadadream,SHINICHIRO YOKOTA DRUM DUB,https://ahadadream.bandcamp.com/track/shinichiro-yokota-drum-dub?from=search&search_item_id=1855184030&search_item_type=t&search_match_part=%3F&search_page_id=4546186297&search_page_no=1&search_rank=1&search_sig=4a82ade6919b52bc1bb500339e22ea78,
,Tick Tool,DJ Overnite,,Bandcamp,"from Boom Boom
                                                    DJ Overnite",Thick Tool,https://physicaltherapy.bandcamp.com/track/thick-tool?from=search&search_item_id=3592254631&search_item_type=t&search_match_part=%3F&search_page_id=4546186575&search_page_no=1&search_rank=1&search_sig=1383ef309412eb118f946327f6225535,
,Reborn,Walt J,,No results found,,,,
,There Is A Lazer Cannon,Null Object,,Bandcamp,"from Get Metal
                                                    Null Object",There Is A Lazer Cannon,https://nullobject.bandcamp.com/track/there-is-a-lazer-cannon?from=search&search_item_id=604304911&search_item_type=t&search_match_part=%3F&search_page_id=4546187194&search_page_no=1&search_rank=1&search_sig=43749f84fb460817ab803077f25674bf,
,When Life Gives You Lemons Make,KIMIKO,,Bandcamp,"from XING
                                                    KIMIKO",When Life Gives You Lemons Make,https://kimiko-music.bandcamp.com/track/when-life-gives-you-lemons-make?from=search&search_item_id=1081193287&search_item_type=t&search_match_part=%3F&search_page_id=4546187567&search_page_no=1&search_rank=1&search_sig=b42aad59eaf573c6893c7b95b0f45915,
,,Mathias Kaden “Liberate Drums” (Vril Remix),Rekids,Bandcamp,"from Liberate Drums
                                                    Mathias Kaden",Liberate Drums (Vril Remix),https://rekids.bandcamp.com/track/liberate-drums-vril-remix?from=search&search_item_id=1032102300&search_item_type=t&search_match_part=%3F&search_page_id=4546187974&search_page_no=1&search_rank=1&search_sig=8adb44e6f596772a60f55774ee94674a,
